Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505997080786072,0.485804390862019,0.429949893880052,0.407981130872697,0.383292096465087,0.410021828071138,0.405149839976724,0.402215827338129,0.401381978993919,0.391652043118576,0.386673058485139,0.393755760368664,0.405233924375134,0.380728530728531,0.440397943214845,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,19.9075059642703,18.9144091126052,18.158963776278,17.482429300535,18.3198345997194,18.3443412492185,18.0510719759831,18.8750710025744,18.4657471196755,19.7975563643639,20.4823839746534,20.3765514921251,21.1175034207909,21.1462857031298,19.1320536548604,18.7728950636349,19.6141267199433,18.8483308375557,17.4556580414512,15.8380255230886,16.0639013479978,14.9886379108628,14.6102932623183,14.1133572963214,13.7690427816068,13.2932351945392,13.0158914946935,13.2273795508874,14.0441765612666,13.2834597394556,13.6163949030686,13.9300759920997,13.4246252090876,13.405314781556,13.532579224454,13.5791125094614,13.5650637826501,12.737304157452,12.5995682593302,13.1865082890611,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6278918638443,37.4188554431481,29.7210671376957,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,27.0135607698968,
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,18.9730026461628,19.9083117980928,20.6285770159712,21.9555184455148,21.8944876497955,22.0941951798506,24.2573721888207,26.2272017908094,24.792283656494,24.3750946838852,24.1567643589932,23.7593404248927,24.6833355623883,25.7260184220588,26.0500304747275,26.6029367191483,27.1500431506213,27.6405075816319,25.9908202456106,22.8583453199837,25.0502254365513,33.1535944391643,31.0831751239713,26.3482004169553,26.1061863981998,23.9861612782014,23.7072929059851,24.5085616748676,25.2960612493885,23.4323466135329,21.9978721486916,21.6573646755391,20.5950980014107,20.1509604313202,20.5620330664393,20.8976215047104,20.7574365463618,20.967246961227,21.2457964611576,22.8263146819582,
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65321372200356,7.02686916586973,9.00201794169947,12.9111824086392,6.29025682837342,5.66468956353548,8.15637702246655,5.8395499748266,6.19838433868839,6.25087653552132,5.06040294790886,5.19128018876127,5.24227833734658,4.80533931673356,6.62119707047771,6.18029318057362,5.84568096888111,6.06963007473451,6.50749253992601,7.5470567791822,9.12253447070414,9.83116860869255,10.016995912763,8.6077417624351,6.66070380425936,9.42977299198621,
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4107030664902,31.5433425577314,28.7855755984545,25.9188725068285,24.5153606554554,22.7161967029445,22.0251747817387,21.9782092040588,20.5374568116515,18.8452577928801,17.7083928445183,17.1536228021036,16.8370863775504,16.7943876651647,17.9558409109494,18.2267654155688,18.7667991750788,19.5651762173868,19.9901536913842,19.7802245227192,19.8499758692673,19.0221428367873,18.4409306163631,18.4633799189155,19.2520984919238,
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,8.39004741457535,8.11682717793017,7.9713535485507,8.00843025801875,6.8661604731883,5.90835023687055,6.89864988175624,6.91650657781492,7.29130315152703,7.52279689122187,8.01148072477189,8.80878846249304,9.200230841547,9.51121432416654,9.71678199901675,8.9963205718898,9.53994835811132,9.59638825224017,9.27027010100464,9.81192435283688,8.90693134517998,9.06938744216779,7.93887715253511,8.57917704340197,8.14954946689418,6.70892136186733,7.09038645819879,7.06820056133932,6.80970119449167,6.17405197671675,5.6101277389209,5.26913879933842,4.9609802570491,4.53865632877116,5.19325640610246,4.99179005736457,5.03952815492057,4.74015511159029,4.84590449210313,4.90577352247753,5.15229555926481,5.16284895478206,4.8466756452049,4.59925452401462,4.71111386839506,6.57897446230577,
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,0.540188294205409,0.545088280601967,0.485156877691024,0.629067480796601,0.54722317809093,0.490602457342951,0.548306764658785,0.640366457885388,0.730600581680254,0.842471510389179,0.925826534993559,1.18452414390845,1.14322934213777,1.19773519163763,1.19302579195627,1.0584284754869,1.29776800811633,1.37862107758448,1.48090107737512,1.83042501688033,1.78706830470903,1.79243187203791,2.00402186456958,2.18089049130306,2.33324519711343,2.26265009303746,2.23820016235649,2.20332258864369,1.92768393253654,1.66536190905993,1.39540987408529,1.09424400194674,0.976671167666283,0.82730546409323,1.03688688860825,0.763452742040359,0.671910149003627,0.638882185152986,0.64376304382726,0.639504606824219,0.740999246531651,0.776054567862067,0.770547339714865,0.718738960721091,0.73084017039957,,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.9041629886915,10.2787574725073,9.98038631665412,9.72127698537181,9.18580964838541,9.6375609641048,10.8658823843399,10.984869871837,11.9525224881086,10.2308377488651,6.5839104917193,8.15217071220236,8.08714211405919,7.50442747786782,7.79627735903041,6.35350500480657,6.47552296064522,9.59615604621897,8.65832496118367,8.3459768371011,7.63430725730443,7.80040264019792,8.09435846444628,8.97786821775225,9.61606509643166,8.12367620787488,6.71649176009431,5.99078709147934,5.13682648211779,5.08266800031075,5.351464616273,5.61086611323361,5.22197210944516,5.25272256987622,4.45782610229152,4.67991094417297,4.56858960891786,10.2066467144411,10.328166939117,8.36248661002826,7.93875427420938,6.93557229126392,7.45235394606923,7.3189545972436,5.2736234689014,7.13216745078964,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,5.29647212437895,6.088397130802,6.83608019121494,
